20组播,#genre#
北京四海钓鱼,http://www.zhms.tk:5050/udp/239.94.1.168:5140$四川电信-组播2
北京环球旅游,http://www.zhms.tk:5050/udp/239.94.1.147:5140$四川电信-组播2
北京戏曲,http://www.zhms.tk:5050/udp/239.94.1.38:5140$四川电信-组播2
北京纪实科教,http://www.zhms.tk:5050/udp/239.94.0.109:5140$四川电信-组播2
北京卡酷少儿,http://www.zhms.tk:5050/udp/239.94.1.29:5140$四川电信-组播2
山西书画频道,http://www.zhms.tk:5050/udp/239.94.1.163:5140$四川电信-组播2
呼和浩特足球,http://www.zhms.tk:5050/udp/239.94.1.47:5140$四川电信-组播2
辽宁家庭理财,http://www.zhms.tk:5050/udp/239.94.1.50:5140$四川电信-组播2
上海东方财经,http://www.zhms.tk:5050/udp/239.94.1.59:5140$四川电信-组播2
上海动漫秀场,http://www.zhms.tk:5050/udp/239.94.1.171:5140$四川电信-组播2
上海游戏风云,http://www.zhms.tk:5050/udp/239.94.1.46:5140$四川电信-组播2
上海乐游,http://www.zhms.tk:5050/udp/239.94.1.164:5140$四川电信-组播2
上海法治天地,http://www.zhms.tk:5050/udp/239.94.1.166:5140$四川电信-组播2
上海都市剧场,http://www.zhms.tk:5050/udp/239.94.1.133:5140$四川电信-组播2
上海多彩文体4K,http://www.zhms.tk:5050/udp/239.94.1.176:5140$四川电信-组播2
上海金色学堂,http://www.zhms.tk:5050/udp/239.94.1.165:5140$四川电信-组播2
上海生活时尚,http://www.zhms.tk:5050/udp/239.94.1.40:5140$四川电信-组播2
上海生活时尚,http://www.zhms.tk:5050/udp/239.94.1.146:5140$四川电信-组播2
江苏财富天下,http://www.zhms.tk:5050/udp/239.94.1.42:5140$四川电信-组播2
江苏财富天下,http://www.zhms.tk:5050/udp/239.94.1.67:5140$四川电信-组播2
湖北精彩影视,http://www.zhms.tk:5050/udp/239.94.1.172:5140$四川电信-组播2
湖北快乐垂钓,http://www.zhms.tk:5050/udp/239.94.1.153:5140$四川电信-组播2
湖南金鹰纪实,http://www.zhms.tk:5050/udp/239.94.1.1:5140$四川电信-组播2
湖南金鹰卡通,http://www.zhms.tk:5050/udp/239.94.1.30:5140$四川电信-组播2
广东嘉佳卡通,http://www.zhms.tk:5050/udp/239.94.1.10:5140$四川电信-组播2
贵州天元围棋,http://www.zhms.tk:5050/udp/239.94.1.152:5140$四川电信-组播2
精彩推荐,http://www.zhms.tk:5050/udp/239.94.2.10:5140$四川电信-组播2
成都-1综合,http://www.zhms.tk:5050/udp/239.94.0.154:5140$四川电信-组播2
成都-2经济,http://www.zhms.tk:5050/udp/239.94.0.155:5140$四川电信-组播2
成都-3生活,http://www.zhms.tk:5050/udp/239.94.0.156:5140$四川电信-组播2
成都-4影视,http://www.zhms.tk:5050/udp/239.94.0.157:5140$四川电信-组播2
成都-5公共,http://www.zhms.tk:5050/udp/239.94.0.158:5140$四川电信-组播2
成都-6少儿,http://www.zhms.tk:5050/udp/239.94.0.159:5140$四川电信-组播2
成都-8每日购物,http://www.zhms.tk:5050/udp/239.94.0.160:5140$四川电信-组播2
自贡文化生活,http://www.zhms.tk:5050/udp/239.94.0.178:5140$四川电信-组播2
自贡综合,http://www.zhms.tk:5050/udp/239.94.0.169:5140$四川电信-组播2
攀枝花新闻综合,http://www.zhms.tk:5050/udp/239.94.0.168:5140$四川电信-组播2
泸州新闻综合,http://www.zhms.tk:5050/udp/239.94.0.163:5140$四川电信-组播2
泸州科教生活,http://www.zhms.tk:5050/udp/239.94.0.182:5140$四川电信-组播2
德阳文旅科教,http://www.zhms.tk:5050/udp/239.94.0.165:5140$四川电信-组播2
德阳新闻综合,http://www.zhms.tk:5050/udp/239.94.0.176:5140$四川电信-组播2
广元文化生活,http://www.zhms.tk:5050/udp/239.94.0.179:5140$四川电信-组播2
广元综合,http://www.zhms.tk:5050/udp/239.94.0.167:5140$四川电信-组播2
内江科教生活,http://www.zhms.tk:5050/udp/239.94.0.181:5140$四川电信-组播2
内江综合,http://www.zhms.tk:5050/udp/239.94.0.164:5140$四川电信-组播2
乐山文旅生活,http://www.zhms.tk:5050/udp/239.94.0.173:5140$四川电信-组播2
乐山新闻综合,http://www.zhms.tk:5050/udp/239.94.0.162:5140$四川电信-组播2
眉山文旅乡村,http://www.zhms.tk:5050/udp/239.94.0.174:5140$四川电信-组播2
眉山综合,http://www.zhms.tk:5050/udp/239.94.0.170:5140$四川电信-组播2
宜宾公共频道,http://www.zhms.tk:5050/udp/239.94.0.172:5140$四川电信-组播2
宜宾新闻综合,http://www.zhms.tk:5050/udp/239.94.0.161:5140$四川电信-组播2
雅安文化生活,http://www.zhms.tk:5050/udp/239.94.0.180:5140$四川电信-组播2
雅安新闻综合,http://www.zhms.tk:5050/udp/239.94.0.166:5140$四川电信-组播2
资阳新闻综合,http://www.zhms.tk:5050/udp/239.94.0.183:5140$四川电信-组播2
凉山彝语综合,http://www.zhms.tk:5050/udp/239.94.0.175:5140$四川电信-组播2
凉山新闻综合,http://www.zhms.tk:5050/udp/239.94.0.171:5140$四川电信-组播2
1-14（数字电视）,http://www.zhms.tk:5050/udp/239.94.1.14:5140$四川电信-组播2
4K乐享超清,http://www.zhms.tk:5050/udp/239.94.1.162:5140$四川电信-组播2
4K少儿,http://www.zhms.tk:5050/udp/239.94.1.70:5140$四川电信-组播2
4K纪实,http://www.zhms.tk:5050/udp/239.94.1.69:5140$四川电信-组播2
4K视界,http://www.zhms.tk:5050/udp/239.94.1.60:5140$四川电信-组播2
bestv,http://www.zhms.tk:5050/udp/239.94.2.57:5140$四川电信-组播2
i乐山,http://www.zhms.tk:5050/udp/239.94.2.2:5140$四川电信-组播2
